background	FASN_negative	FASN_positive
NFKBIE	NA	NA
CRB2	NA	NA
SYT1	NA	NA
MAN1B1	NA	NA
L1TD1	NA	NA
PEX11G	NA	NA
CD2	NA	NA
FAM173B	NA	NA
PODN	NA	NA
SUV39H2	NA	NA
MAGEA8	NA	NA
BCL2A1	NA	NA
SLC16A5	NA	NA
SLC6A3	NA	NA
ADAMTS18	NA	NA
FKBP2	NA	NA
SPDEF	NA	NA
MRGPRX1	NA	NA
CHIC1	NA	NA
BAP1	NA	NA
TPRKB	NA	NA
RALGPS2	NA	NA
TRIM43	NA	NA
UBN2	NA	NA
FAM213A	NA	NA
DTX3	NA	NA
SLC6A13	NA	NA
FOXB1	NA	NA
HPD	NA	NA
MDH2	NA	NA
MFAP2	NA	NA
EXOC1	NA	NA
SH3BP1	NA	NA
MRPL41	NA	NA
ALS2	NA	NA
FAM90A1	NA	NA
EXOC8	NA	NA
DNAH6	NA	NA
CACNA1A	NA	NA
GAL	NA	NA
SEMA6B	NA	NA
SLC45A2	NA	NA
NXPH3	NA	NA
FARSA	NA	NA
RFPL2	NA	NA
C6orf136	NA	NA
MYRFL	NA	NA
C1orf95	NA	NA
WBSCR17	NA	NA
ANXA4	NA	NA
RETNLB	NA	NA
ABCG1	NA	NA
CALCRL	NA	NA
MST1R	NA	NA
HSD17B2	NA	NA
RTN4IP1	NA	NA
MMP28	NA	NA
PIK3C2B	NA	NA
WDHD1	NA	NA
CREB3L1	NA	NA
GCM1	NA	NA
UBXN11	NA	NA
INO80E	NA	NA
TSG101	NA	NA
ACADSB	NA	NA
SERP1	NA	NA
GLMN	NA	NA
MMP27	NA	NA
HFM1	NA	NA
AHCTF1	NA	NA
APC2	NA	NA
ZBTB34	NA	NA
CAMKK1	NA	NA
MORN2	NA	NA
HPSE	NA	NA
NARS2	NA	NA
DPP10	NA	NA
GRB7	NA	NA
STRC	NA	NA
FFAR1	NA	NA
UBE2H	NA	NA
CYP21A2	NA	NA
SGPP1	NA	NA
FMO5	NA	NA
KIF16B	NA	NA
DSG4	NA	NA
EFHB	NA	NA
CRB3	NA	NA
SEPT1	NA	NA
KIFC3	NA	NA
DENND5A	NA	NA
FAM26D	NA	NA
ZFHX2	NA	NA
LGALSL	NA	NA
SLAIN2	NA	NA
ETV6	NA	NA
SYT6	NA	NA
SIX6	NA	NA
KRT79	NA	NA
FBLL1	NA	NA
C12orf77	NA	NA
KIAA1586	NA	NA
YIF1B	NA	NA
EPS8L2	NA	NA
NEUROD2	NA	NA
NMT2	NA	NA
COX14	NA	NA
VCP	NA	NA
TBX21	NA	NA
EFNA3	NA	NA
ZNF646	NA	NA
SPG7	NA	NA
TSKS	NA	NA
CDK5R2	NA	NA
RAP2B	NA	NA
EVPL	NA	NA
CD5L	NA	NA
C1orf65	NA	NA
CEACAM7	NA	NA
KDM5B	NA	NA
FRMD3	NA	NA
INTS5	NA	NA
WNT8A	NA	NA
SETD5	NA	NA
DCAF4	NA	NA
DBT	NA	NA
LGALS14	NA	NA
GPR25	NA	NA
HOMEZ	NA	NA
TSPYL6	NA	NA
TSR3	NA	NA
DNAJC4	NA	NA
GBP6	NA	NA
BCL11A	NA	NA
STX8	NA	NA
ATP5H	NA	NA
CXCR5	NA	NA
SLC4A9	NA	NA
BSND	NA	NA
SCIN	NA	NA
RFX8	NA	NA
PLAC9	NA	NA
HMGN2	NA	NA
S1PR5	NA	NA
C14orf28	NA	NA
CDRT15	NA	NA
ST6GALNAC6	NA	NA
KRTAP26-1	NA	NA
EIF2B2	NA	NA
KIAA0319	NA	NA
TULP2	NA	NA
HSD17B3	NA	NA
MED25	NA	NA
AMIGO2	NA	NA
SART1	NA	NA
RAB6B	NA	NA
ZNF235	NA	NA
SNTA1	NA	NA
AMFR	NA	NA
TMEM117	NA	NA
EPHA2	NA	NA
PSMC3IP	NA	NA
ARHGEF17	NA	NA
CAPRIN2	NA	NA
RINL	NA	NA
ARHGAP39	NA	NA
CDKL2	NA	NA
DHH	NA	NA
FOXN1	NA	NA
RPL8	NA	NA
DSC1	NA	NA
FAM117A	NA	NA
FKBP8	NA	NA
FAM83A	NA	NA
THYN1	NA	NA
JMJD4	NA	NA
ZNHIT2	NA	NA
PRRG2	NA	NA
C5orf52	NA	NA
TAS1R2	NA	NA
MAFB	NA	NA
FITM1	NA	NA
TWSG1	NA	NA
CRY2	NA	NA
KCNJ9	NA	NA
KARS	NA	NA
YWHAH	NA	NA
RGN	NA	NA
VPS39	NA	NA
TBC1D2	NA	NA
PTHLH	NA	NA
TEX37	NA	NA
RAB4A	NA	NA
GABRA4	NA	NA
PAQR7	NA	NA
GCSAM	NA	NA
GPN2	NA	NA
TDRP	NA	NA
SEC14L3	NA	NA
OR4D11	NA	NA
C10orf128	NA	NA
RCHY1	NA	NA
ZNF648	NA	NA
FAM177A1	NA	NA
PTCHD2	NA	NA
STAT6	NA	NA
MEF2C	NA	NA
GMPR2	NA	NA
QRFP	NA	NA
MAP7D1	NA	NA
HPN	NA	NA
IHH	NA	NA
PRRX1	NA	NA
MKS1	NA	NA
CCDC90B	NA	NA
PDGFB	NA	NA
MYO1B	NA	NA
CSPG5	NA	NA
BCL2L12	NA	NA
DGAT2	NA	NA
CDC123	NA	NA
ZNF628	NA	NA
OR2C1	NA	NA
DKK2	NA	NA
TFF1	NA	NA
GOLGA8R	NA	NA
DENND4A	NA	NA
C1QTNF3	NA	NA
TIMELESS	NA	NA
TEX15	NA	NA
RCSD1	NA	NA
PIGM	NA	NA
CDKL4	NA	NA
SCPEP1	NA	NA
CNGB3	NA	NA
SPECC1	NA	NA
SERTAD3	NA	NA
GPR182	NA	NA
LSAMP	NA	NA
DBF4B	NA	NA
ATP6V1E2	NA	NA
CDKN1C	NA	NA
C22orf29	NA	NA
TPRX2P	NA	NA
KCNMB4	NA	NA
C11orf86	NA	NA
VN1R4	NA	NA
NCAPG	NA	NA
MAFF	NA	NA
TPSD1	NA	NA
FXR2	NA	NA
OLFM1	NA	NA
C3orf22	NA	NA
TOMM70A	NA	NA
PDPN	NA	NA
TEDDM1	NA	NA
C21orf119	NA	NA
SELK	NA	NA
ASTL	NA	NA
ERAP1	NA	NA
ITGA7	NA	NA
C16orf97	NA	NA
CCDC37	NA	NA
CDKL3	NA	NA
SERINC3	NA	NA
ZP3	NA	NA
FCGR2A	NA	NA
SCT	NA	NA
DNAJB2	NA	NA
C2	NA	NA
BPNT1	NA	NA
FOXE1	NA	NA
BEST4	NA	NA
NLGN1	NA	NA
FAM189B	NA	NA
TTLL13	NA	NA
AP3M2	NA	NA
FAM160A1	NA	NA
SPINK8	NA	NA
MARCH3	NA	NA
C22orf31	NA	NA
MEF2D	NA	NA
IGFBP7	NA	NA
OR4C15	NA	NA
DCAF13	NA	NA
HOXA3	NA	NA
ROR2	NA	NA
BRMS1	NA	NA
PCNXL2	NA	NA
TMEM179B	NA	NA
OR2Z1	NA	NA
THAP4	NA	NA
SPINK4	NA	NA
DOCK8	NA	NA
SLC18A1	NA	NA
TSSK1B	NA	NA
TMEM201	NA	NA
ZNF764	NA	NA
ARFGAP3	NA	NA
ICAM1	NA	NA
MCOLN1	NA	NA
ENSA	NA	NA
TELO2	NA	NA
DLG4	NA	NA
NABP1	NA	NA
C16orf96	NA	NA
GALK1	NA	NA
SNRPF	NA	NA
ZNF483	NA	NA
EBNA1BP2	NA	NA
OR10J3	NA	NA
TOMM22	NA	NA
CUTA	NA	NA
DNAJC6	NA	NA
BHLHE22	NA	NA
ARL3	NA	NA
NRXN3	NA	NA
THOC2	NA	NA
TIFAB	NA	NA
RSPH3	NA	NA
CDH3	NA	NA
RAB3C	NA	NA
HMGN4	NA	NA
TMEM221	NA	NA
VPS37B	NA	NA
PCDHGA2	NA	NA
SOX8	NA	NA
PCDHA10	NA	NA
FBXW8	NA	NA
BAG2	NA	NA
PCDHGC4	NA	NA
CASC10	NA	NA
COX6A1	NA	NA
HLA-DPA1	NA	NA
MALSU1	NA	NA
STK33	NA	NA
C2orf78	NA	NA
CRCT1	NA	NA
EPHB3	NA	NA
MYH6	NA	NA
TBX18	NA	NA
CILP2	NA	NA
H1FX	NA	NA
SLC9A6	NA	NA
TNFRSF10A	NA	NA
C9orf152	NA	NA
ZNF768	NA	NA
SPA17	NA	NA
IFI16	NA	NA
SPAG9	NA	NA
RHBDL2	NA	NA
CTC1	NA	NA
OVOL1	NA	NA
PENK	NA	NA
TTC38	NA	NA
STRIP1	NA	NA
RGS13	NA	NA
CYP4F3	NA	NA
GPCPD1	NA	NA
FAM180B	NA	NA
CPB2	NA	NA
PCYT1B	NA	NA
APEX2	NA	NA
PKD2L1	NA	NA
HTATIP2	NA	NA
PRPSAP2	NA	NA
CCDC102B	NA	NA
TRIM35	NA	NA
DCDC1	NA	NA
TNNI1	NA	NA
EFCAB4B	NA	NA
PFDN4	NA	NA
HELQ	NA	NA
METTL17	NA	NA
NRG1	NA	NA
XKR4	NA	NA
MANSC1	NA	NA
C11orf42	NA	NA
ADORA1	NA	NA
DYSF	NA	NA
BTN3A2	NA	NA
OR8K1	NA	NA
FBLN5	NA	NA
FAM161A	NA	NA
CLINT1	NA	NA
MRPL43	NA	NA
CD59	NA	NA
NFAM1	NA	NA
CGRRF1	NA	NA
SLC35F3	NA	NA
KIRREL2	NA	NA
CDK16	NA	NA
RBM28	NA	NA
MEGF8	NA	NA
HECTD3	NA	NA
TAF11	NA	NA
CACNB3	NA	NA
WNT11	NA	NA
C6ORF165	NA	NA
RNF148	NA	NA
SIK2	NA	NA
KRT222	NA	NA
ZNF511	NA	NA
FAM160B1	NA	NA
COPRS	NA	NA
GDNF	NA	NA
MESP1	NA	NA
PDILT	NA	NA
ITGB5	NA	NA
ZKSCAN3	NA	NA
PAFAH1B1	NA	NA
VCAM1	NA	NA
PEX1	NA	NA
RUFY4	NA	NA
AQP2	NA	NA
ETV5	NA	NA
NOVA2	NA	NA
TTL	NA	NA
LANCL2	NA	NA
PRRC1	NA	NA
LAD1	NA	NA
ZNF573	NA	NA
REL	NA	NA
CABLES2	NA	NA
C10orf85	NA	NA
SRPK2	NA	NA
PRLR	NA	NA
ANKRD13D	NA	NA
DMRTC2	NA	NA
UCP1	NA	NA
MYBPC3	NA	NA
MAP3K2	NA	NA
FBXO47	NA	NA
DRG2	NA	NA
MYL7	NA	NA
HRASLS5	NA	NA
ZBTB20	NA	NA
LIMK2	NA	NA
HCFC1R1	NA	NA
WRAP53	NA	NA
ARMCX6	NA	NA
ALDH3B2	NA	NA
HHIP	NA	NA
MC1R	NA	NA
LMX1B	NA	NA
DNAAF2	NA	NA
FAM131B	NA	NA
VAMP2	NA	NA
CDC42EP1	NA	NA
MRPS31	NA	NA
TBC1D4	NA	NA
MYO1D	NA	NA
OR12D3	NA	NA
PRDX4	NA	NA
FGFRL1	NA	NA
CCDC27	NA	NA
ZNF562	NA	NA
SLC12A9	NA	NA
DPF2	NA	NA
CHCHD5	NA	NA
ANKRD62	NA	NA
HEPHL1	NA	NA
GIMAP2	NA	NA
TNPO3	NA	NA
ADAMTS17	NA	NA
WFDC2	NA	NA
NRP2	NA	NA
NEUROG1	NA	NA
PLCXD2	NA	NA
RNF181	NA	NA
FKBP1C	NA	NA
REEP6	NA	NA
RLN1	NA	NA
EFNB3	NA	NA
CLDN19	NA	NA
RNASE10	NA	NA
C21orf49	NA	NA
FAHD2B	NA	NA
GLTSCR2	NA	NA
SLC4A1	NA	NA
GOLGA6L2	NA	NA
GRPR	NA	NA
SLC31A1	NA	NA
ZNF37A	NA	NA
ECE1	NA	NA
SNAP23	NA	NA
ZNF704	NA	NA
MCM3AP	NA	NA
GDF3	NA	NA
LONP1	NA	NA
CNTD1	NA	NA
IGF2BP3	NA	NA
AKAP3	NA	NA
DEFB127	NA	NA
TMEM143	NA	NA
RHOC	NA	NA
OR1F1	NA	NA
TRPM2	NA	NA
KIF18B	NA	NA
SLC22A17	NA	NA
PTGES2	NA	NA
MUM1	NA	NA
B9D1	NA	NA
NPR2	NA	NA
EPHB1	NA	NA
DCHS2	NA	NA
HGD	NA	NA
SAPCD2	NA	NA
AMOTL1	NA	NA
PAPL	NA	NA
REEP5	NA	NA
CSTF2T	NA	NA
CDCP1	NA	NA
GXYLT1	NA	NA
DNAJC13	NA	NA
MED27	NA	NA
SLC13A2	NA	NA
C6orf164	NA	NA
TRIM26	NA	NA
KIF1B	NA	NA
OR5M8	NA	NA
PCDHGB2	NA	NA
BAIAP3	NA	NA
BCL7C	NA	NA
CBR1	NA	NA
GALNT9	NA	NA
MAP1S	NA	NA
PILRA	NA	NA
ANO4	NA	NA
HMGCL	NA	NA
ZNF174	NA	NA
GGT5	NA	NA
KDM4D	NA	NA
PCDHB1	NA	NA
CPA6	NA	NA
KYNU	NA	NA
MC3R	NA	NA
PCDHB10	NA	NA
FZD1	NA	NA
ARMC1	NA	NA
SLC27A3	NA	NA
ZBTB39	NA	NA
SLC7A13	NA	NA
C2orf53	NA	NA
MLK4	NA	NA
PSMA5	NA	NA
P2RX5	NA	NA
C3orf67	NA	NA
CYLD	NA	NA
KLRK1	NA	NA
LRP8	NA	NA
TBC1D22A	NA	NA
HMGCS1	NA	NA
VWA5A	NA	NA
PAN2	NA	NA
LY96	NA	NA
ERAS	NA	NA
MAST1	NA	NA
RHBDF1	NA	NA
STX1A	NA	NA
EXOSC9	NA	NA
SLC1A1	NA	NA
PPARD	NA	NA
THADA	NA	NA
GABRA3	NA	NA
TLR2	NA	NA
PHF2	NA	NA
LIN7B	NA	NA
NFASC	NA	NA
CD101	NA	NA
RPUSD4	NA	NA
CDH24	NA	NA
CENPV	NA	NA
FAM198A	NA	NA
SAA4	NA	NA
SLIRP	NA	NA
CAMK2A	NA	NA
PSMG4	NA	NA
SCGB1D1	NA	NA
PM20D1	NA	NA
PSEN1	NA	NA
CTLA4	NA	NA
CNDP1	NA	NA
MRPS22	NA	NA
NPAS3	NA	NA
RBFOX2	NA	NA
AMER2	NA	NA
MROH2B	NA	NA
CD300LF	NA	NA
KBTBD12	NA	NA
SENP2	NA	NA
FAM65C	NA	NA
WDR20	NA	NA
PLTP	NA	NA
TDRD1	NA	NA
LOXL1	NA	NA
ZNF213	NA	NA
ZC3H7B	NA	NA
GPRC5A	NA	NA
CIAPIN1	NA	NA
PROK2	NA	NA
TRIP4	NA	NA
C17orf89	NA	NA
TBC1D2B	NA	NA
KRT19	NA	NA
RCVRN	NA	NA
OR5W2	NA	NA
MAB21L3	NA	NA
SLC12A8	NA	NA
ESPN	NA	NA
GATC	NA	NA
DMRT3	NA	NA
STAG3	NA	NA
C8orf31	NA	NA
PNCK	NA	NA
MYOZ1	NA	NA
DNAJB13	NA	NA
NFYA	NA	NA
TSHR	NA	NA
NT5DC1	NA	NA
DNAH1	NA	NA
MMRN1	NA	NA
TTC24	NA	NA
ILKAP	NA	NA
KRT15	NA	NA
TM4SF1	NA	NA
EIF1AX	NA	NA
HAS1	NA	NA
MLLT6	NA	NA
GJA10	NA	NA
DROSHA	NA	NA
IPO5	NA	NA
PKIG	NA	NA
CLEC2B	NA	NA
SIM2	NA	NA
EGR3	NA	NA
OPRK1	NA	NA
CHRDL2	NA	NA
NPC2	NA	NA
PLEKHG7	NA	NA
CCDC92	NA	NA
FBXO38	NA	NA
UGT1A8	NA	NA
KCNJ2	NA	NA
TRPT1	NA	NA
SLA2	NA	NA
SCIMP	NA	NA
CSRNP1	NA	NA
P2RY14	NA	NA
TMX4	NA	NA
CAPN14	NA	NA
DCAF17	NA	NA
OAS2	NA	NA
NEK2	NA	NA
HDGFL1	NA	NA
FBRS	NA	NA
GLB1	NA	NA
MAGEB3	NA	NA
AK8	NA	NA
CLEC1B	NA	NA
NNT	NA	NA
GTSF1L	NA	NA
ERAP2	NA	NA
IL7R	NA	NA
LST1	NA	NA
PDE8B	NA	NA
MUC1	NA	NA
PRRT2	NA	NA
MMP16	NA	NA
IDI2	NA	NA
PPFIA1	NA	NA
EDDM3A	NA	NA
ERCC6	NA	NA
SLA	NA	NA
ERLIN2	NA	NA
TREML4	NA	NA
ADD2	NA	NA
RBM20	NA	NA
GHDC	NA	NA
TCF25	NA	NA
FRMPD2	NA	NA
RGL4	NA	NA
SLC6A5	NA	NA
STAR	NA	NA
KCND1	NA	NA
BPIFA1	NA	NA
RIMKLA	NA	NA
STX6	NA	NA
CUZD1	NA	NA
HEYL	NA	NA
ZNF382	NA	NA
CXorf58	NA	NA
C17orf98	NA	NA
LSM10	NA	NA
KRTAP6-2	NA	NA
CD97	NA	NA
CLIC2	NA	NA
TRMT6	NA	NA
ADHFE1	NA	NA
SLC10A6	NA	NA
ASB14	NA	NA
MECR	NA	NA
PCDHA3	NA	NA
NPBWR1	NA	NA
RASSF3	NA	NA
ARHGEF19	NA	NA
ABT1	NA	NA
CD81	NA	NA
RPL22L1	NA	NA
OR5A2	NA	NA
KDM3A	NA	NA
PAQR3	NA	NA
SLC8A2	NA	NA
PPM1B	NA	NA
RAD52	NA	NA
C9orf40	NA	NA
SLC4A5	NA	NA
OR6C65	NA	NA
TRPV2	NA	NA
KCNMB3	NA	NA
MYO7B	NA	NA
ZNF146	NA	NA
WFIKKN1	NA	NA
TMA16	NA	NA
NHLRC1	NA	NA
MORC1	NA	NA
NUP133	NA	NA
TMEM194B	NA	NA
ZNF225	NA	NA
C2orf91	NA	NA
CLCA4	NA	NA
ADCY9	NA	NA
FAM110B	NA	NA
ATP1A1	NA	NA
LOXL2	NA	NA
RSF1	NA	NA
ABRA	NA	NA
KLHDC8A	NA	NA
HOXB7	NA	NA
C15orf52	NA	NA
MED18	NA	NA
ORC6	NA	NA
ESD	NA	NA
NTHL1	NA	NA
SOAT2	NA	NA
GTPBP8	NA	NA
RTN4RL1	NA	NA
ERCC6L2	NA	NA
GLTPD2	NA	NA
RMDN1	NA	NA
USP26	NA	NA
TRIM11	NA	NA
RARRES3	NA	NA
CHPF2	NA	NA
PTPRD	NA	NA
C1orf200	NA	NA
GLYATL3	NA	NA
GRAP2	NA	NA
ENPP6	NA	NA
NIPA1	NA	NA
SCRT1	NA	NA
RBP3	NA	NA
ZNF75A	NA	NA
OSGIN2	NA	NA
TGFB1I1	NA	NA
ZDHHC6	NA	NA
HOXC13	NA	NA
ASNA1	NA	NA
C5orf49	NA	NA
AREL1	NA	NA
CALY	NA	NA
EFTUD2	NA	NA
IL6R	NA	NA
ZC3H12A	NA	NA
NHP2	NA	NA
ZDHHC17	NA	NA
DPEP1	NA	NA
SNCG	NA	NA
OR5AU1	NA	NA
TOB2	NA	NA
DGCR14	NA	NA
ODF4	NA	NA
STK17A	NA	NA
RBMS3	NA	NA
NCAPD2	NA	NA
DYX1C1	NA	NA
SFXN3	NA	NA
COQ5	NA	NA
AK3	NA	NA
IQCF5	NA	NA
BBX	NA	NA
C2CD4B	NA	NA
WNT1	NA	NA
PLCXD3	NA	NA
GMFG	NA	NA
SLFN12L	NA	NA
GALNT11	NA	NA
HCST	NA	NA
GPR68	NA	NA
LRRC53	NA	NA
MED22	NA	NA
C17orf102	NA	NA
ANKS1B	NA	NA
CD69	NA	NA
RMDN3	NA	NA
FAM183A	NA	NA
NPW	NA	NA
SLC24A4	NA	NA
DUS4L	NA	NA
RPAIN	NA	NA
ZNF696	NA	NA
ZNF283	NA	NA
CECR6	NA	NA
TDRD6	NA	NA
PLAG1	NA	NA
ELOVL5	NA	NA
ITLN1	NA	NA
IL3	NA	NA
PRCD	NA	NA
C11orf71	NA	NA
TBX1	NA	NA
BRPF1	NA	NA
KANK3	NA	NA
LOX	NA	NA
FAM169B	NA	NA
ME3	NA	NA
JUND	NA	NA
FLG	NA	NA
ABCE1	NA	NA
SYCE2	NA	NA
TNNC2	NA	NA
ITGA8	NA	NA
PAXBP1	NA	NA
MS4A1	NA	NA
TPO	NA	NA
OR51T1	NA	NA
SERPINA9	NA	NA
ZNF512B	NA	NA
CD300A	NA	NA
UBE2D3	NA	NA
KIF1C	NA	NA
DNAJB8	NA	NA
GBP3	NA	NA
AKR1D1	NA	NA
HAND2	NA	NA
HEPACAM2	NA	NA
SNAI1	NA	NA
FAM57A	NA	NA
IQCJ	NA	NA
C8orf86	NA	NA
RPP21	NA	NA
COL5A3	NA	NA
CNPY4	NA	NA
RAD54B	NA	NA
GPR113	NA	NA
STX4	NA	NA
RHOD	NA	NA
LUM	NA	NA
LGALS3	NA	NA
ASZ1	NA	NA
RNF223	NA	NA
WBSCR28	NA	NA
LARP1B	NA	NA
ITPR3	NA	NA
GTPBP4	NA	NA
NDUFB10	NA	NA
RASGRP4	NA	NA
CEL	NA	NA
TIMM21	NA	NA
TRABD2B	NA	NA
SH3BGRL3	NA	NA
MTG1	NA	NA
SMG1	NA	NA
DPY19L4	NA	NA
LRRC66	NA	NA
CD274	NA	NA
UBR7	NA	NA
SLC4A4	NA	NA
C20orf62	NA	NA
MMP25	NA	NA
LZTFL1	NA	NA
GDPD3	NA	NA
USP6NL	NA	NA
TTBK1	NA	NA
RNASE13	NA	NA
AIF1	NA	NA
VWA1	NA	NA
CTRC	NA	NA
ZSCAN5A	NA	NA
ZNF513	NA	NA
FBLN2	NA	NA
CACTIN	NA	NA
C19orf12	NA	NA
TMEM52	NA	NA
UBA7	NA	NA
MASP2	NA	NA
TMEM50A	NA	NA
SCAMP5	NA	NA
PGAP3	NA	NA
FAM46B	NA	NA
GCK	NA	NA
TSSK4	NA	NA
KLF8	NA	NA
FAM211A	NA	NA
VSX2	NA	NA
FLYWCH2	NA	NA
CD207	NA	NA
ASPSCR1	NA	NA
ARVCF	NA	NA
LGALS12	NA	NA
KLHL21	NA	NA
PRR15	NA	NA
HPS5	NA	NA
KIF19	NA	NA
C1orf227	NA	NA
ZPLD1	NA	NA
PIANP	NA	NA
UIMC1	NA	NA
METTL21B	NA	NA
PRDX5	NA	NA
GNPAT	NA	NA
ANG	NA	NA
CLEC12A	NA	NA
MGAT3	NA	NA
FUT5	NA	NA
TBX19	NA	NA
TACSTD2	NA	NA
DUSP14	NA	NA
ITIH3	NA	NA
RRP36	NA	NA
AIM1L	NA	NA
MBLAC2	NA	NA
GNAO1	NA	NA
EEPD1	NA	NA
TXLNA	NA	NA
JAK2	NA	NA
BEST1	NA	NA
CHADL	NA	NA
PRAMEF10	NA	NA
C2CD2L	NA	NA
WDR5B	NA	NA
STK16	NA	NA
STARD13	NA	NA
VKORC1	NA	NA
TEF	NA	NA
NFKBIZ	NA	NA
MPHOSPH9	NA	NA
SRXN1	NA	NA
MPPED1	NA	NA
QPRT	NA	NA
CXorf48	NA	NA
EXOC3	NA	NA
TMEM64	NA	NA
AMBN	NA	NA
YBX2	NA	NA
ERP27	NA	NA
OR9I1	NA	NA
KCNV1	NA	NA
CBLN4	NA	NA
C10orf25	NA	NA
SYDE1	NA	NA
TRPM1	NA	NA
LHFPL3	NA	NA
ZNF257	NA	NA
SNPH	NA	NA
A4GALT	NA	NA
FGF20	NA	NA
ZNF865	NA	NA
CD244	NA	NA
LRRC48	NA	NA
OR6C76	NA	NA
PIGN	NA	NA
MLNR	NA	NA
LSM11	NA	NA
ANKRD66	NA	NA
PLEKHG4B	NA	NA
PRKD2	NA	NA
SLC6A20	NA	NA
PLA2G2D	NA	NA
EFCAB1	NA	NA
MIS12	NA	NA
PVRL4	NA	NA
CYP7A1	NA	NA
CPA1	NA	NA
BCL2L13	NA	NA
TSTA3	NA	NA
GUCY2D	NA	NA
ABCG5	NA	NA
IL10RB	NA	NA
ZNF780B	NA	NA
RORA	NA	NA
FAM84A	NA	NA
FAM159A	NA	NA
CD58	NA	NA
EXOSC7	NA	NA
COL18A1	NA	NA
BASP1	NA	NA
PROCR	NA	NA
PHLDB2	NA	NA
LHX1	NA	NA
AASDH	NA	NA
NRG4	NA	NA
PCDHB3	NA	NA
CD27	NA	NA
BANP	NA	NA
RPP14	NA	NA
R3HCC1L	NA	NA
PDCD7	NA	NA
NGF	NA	NA
CMTM6	NA	NA
CERS3	NA	NA
ECI1	NA	NA
GNPTG	NA	NA
MITF	NA	NA
TMEM63C	NA	NA
C16orf74	NA	NA
KRT13	NA	NA
SETD2	NA	NA
NR4A2	NA	NA
HLA-DRA	NA	NA
TMPRSS11D	NA	NA
FBXO48	NA	NA
ATP2A1	NA	NA
G2E3	NA	NA
HTRA4	NA	NA
RIC8B	NA	NA
C15orf38	NA	NA
ACAD8	NA	NA
AKTIP	NA	NA
FAM133A	NA	NA
NCMAP	NA	NA
NCBP2L	NA	NA
ARIH2OS	NA	NA
C12orf52	NA	NA
TIRAP	NA	NA
CCL1	NA	NA
LGI1	NA	NA
VTN	NA	NA
C15orf26	NA	NA
KIDINS220	NA	NA
TEPP	NA	NA
PTGES	NA	NA
HSPA9	NA	NA
TMEM88	NA	NA
GUCA2A	NA	NA
SERTAD2	NA	NA
BLOC1S5	NA	NA
DNASE1	NA	NA
AKAP1	NA	NA
RINT1	NA	NA
INF2	NA	NA
SKAP1	NA	NA
TMEM206	NA	NA
HERPUD2	NA	NA
KIAA1731	NA	NA
DDO	NA	NA
ASCC1	NA	NA
PRR9	NA	NA
B3GNT7	NA	NA
KLRC1	NA	NA
UBASH3A	NA	NA
TFB2M	NA	NA
HSPB6	NA	NA
CCDC127	NA	NA
TMEM242	NA	NA
TSPAN1	NA	NA
UROC1	NA	NA
PGPEP1	NA	NA
HAPLN4	NA	NA
ACSM3	NA	NA
CXCR2	NA	NA
IL31RA	NA	NA
TERT	NA	NA
PLXNA2	NA	NA
DTX3L	NA	NA
PIH1D1	NA	NA
GFRA2	NA	NA
PPT2	NA	NA
MYBL1	NA	NA
ZNF732	NA	NA
CCDC38	NA	NA
BATF2	NA	NA
POM121L12	NA	NA
DCAF10	NA	NA
PDE4D	NA	NA
RPA4	NA	NA
ZNF500	NA	NA
FAM110D	NA	NA
SERPINA1	NA	NA
MTIF2	NA	NA
VHL	NA	NA
YIPF4	NA	NA
NOC3L	NA	NA
ZNF664	NA	NA
NSDHL	NA	NA
MIER3	NA	NA
LAMB2	NA	NA
PLEKHA7	NA	NA
ZNF322	NA	NA
TBC1D22B	NA	NA
TMEM177	NA	NA
FAAH2	NA	NA
NKRF	NA	NA
BAG3	NA	NA
PGLYRP1	NA	NA
ABCB4	NA	NA
SLC44A2	NA	NA
FAM219B	NA	NA
THY1	NA	NA
PABPN1L	NA	NA
FDFT1	NA	NA
UQCR11	NA	NA
OTX1	NA	NA
NCAM2	NA	NA
FUCA2	NA	NA
APOM	NA	NA
NRXN1	NA	NA
REM1	NA	NA
CARD10	NA	NA
TC2N	NA	NA
TLX1NB	NA	NA
CELF6	NA	NA
CHIA	NA	NA
C21orf90	NA	NA
GIMAP4	NA	NA
WDR55	NA	NA
SPCS3	NA	NA
NMUR1	NA	NA
ATP5J	NA	NA
DLGAP4	NA	NA
SLC3A1	NA	NA
C17orf58	NA	NA
HYAL2	NA	NA
ARHGAP21	NA	NA
SPIN4	NA	NA
TMEM74	NA	NA
MTMR12	NA	NA
MKX	NA	NA
MICALL2	NA	NA
KIAA0556	NA	NA
FRK	NA	NA
EGR2	NA	NA
BLACE	NA	NA
RTN4RL2	NA	NA
LTBP2	NA	NA
TMPPE	NA	NA
CHAD	NA	NA
SV2C	NA	NA
CSF1R	NA	NA
FAF1	NA	NA
IL1A	NA	NA
GOLM1	NA	NA
SASH1	NA	NA
C17orf67	NA	NA
SCGB1D4	NA	NA
AP5B1	NA	NA
SYT9	NA	NA
SESTD1	NA	NA
NFIX	NA	NA
APEH	NA	NA
SPRYD3	NA	NA
C15orf32	NA	NA
RP2	NA	NA
FAM3D	NA	NA
ARL9	NA	NA
OR1L8	NA	NA
LCE6A	NA	NA
PNPLA7	NA	NA
WDR65	NA	NA
EGFL6	NA	NA
HJURP	NA	NA
C8orf4	NA	NA
THAP1	NA	NA
